r,ITC1,ITC2,ITC3,ITC4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2,ITH0,ITH3,ITH4,ITH5,ITI1,ITI2,ITI3,ITI4
32,1.0062799275856897,1.771534005114527,0.7037049059572394,0.7840516806998392,2.6212090762959446,0.8428039089711923,0.6535196768186963,1.0163157669447118,2.2945111202485826,1.36282786877007,0.8420353726305763,1.7675922674409297,0.6707562928174109,1.1671615699750226,1.073839713215405,2.139945606944033,2.5733433375600763,1.3997907986152842,1.1367607262451496,2.8141301987244227
33,0.8936054270660886,1.7451173415176582,0.762038562749663,0.7381746973074081,2.555250266013965,0.6559092692233036,0.5649846464980394,0.7636123168998457,2.248925730377306,0.7337643894611491,0.36852607580311975,1.4950386110267,0.6706460536900812,0.9864236551182214,0.9695453819835251,2.061120626227083,2.4374942001862356,1.1802149121694538,1.0196761424926142,2.559846815766856
34,0.9814368676446246,1.70332190585203,0.7315951552664093,0.7632065836087653,2.6760779702210513,0.8548974417877719,0.6637926127154985,0.9729407018554377,2.2390769511769752,1.1687847386633756,0.719384676953037,1.8950226133462797,0.7037717791492962,1.1684152099694676,1.1878381354900893,2.129005163215465,2.539476558757936,1.4591255200615028,1.2179449140153344,2.766556286905282
35,0.9387486013328554,1.7367864257989527,0.7316777304869233,0.7156334239167763,2.56444895081791,0.7185706089457926,0.6241078078354313,0.8250415742427956,2.2182257926360505,0.8157419710455448,0.44991842582718483,1.580654094840687,0.6941606958603117,0.9892223645546666,1.0207655358807775,2.086863094927704,2.4625873926077544,1.2344968736620603,1.0363567323126026,2.631206761199889
36,1.0139860328740744,1.70508783960179,0.7650734988114666,0.8147729351416011,2.72807243715036,0.8789681606892468,0.6261735257548697,1.025377944369523,2.314009305479222,1.3135813062730628,0.8177524537267692,1.950019373177243,0.6697602846937217,1.2316717108448563,1.208950785565008,2.1580000029090987,2.6083029091185868,1.5149895444467887,1.2824613989605798,2.812556308360689
37,0.9097398279637294,1.681396196856205,0.7734936625236314,0.7605522342320309,2.66539601071556,0.7051561050238246,0.5624548779063633,0.8183223539668345,2.255577617984399,0.8389970308651029,0.4069747012808182,1.7331593336994016,0.6677109765850253,1.0918319973864061,1.1124295762867853,2.0829377895464565,2.486723154241191,1.3211912407481703,1.1699947194198996,2.600934976230141
38,0.9899195836009669,1.7657062679180038,0.7238641183822127,0.7636937584549133,2.6017589280287257,0.7932023979103896,0.6415328279308619,0.9530048730373802,2.2650312250112443,1.1521847901082671,0.6853406321995213,1.7062954586233088,0.676748075260857,1.0928762211490357,1.0675243642545758,2.1298132359117914,2.5534643555558216,1.3486322953485028,1.1153220081391897,2.76170814072261
39,0.9866595763455422,1.7065087001815797,0.7095494681566454,0.7355634350215817,2.6475217993662667,0.8309589945965349,0.5549838204350737,0.9311520547077339,2.19868974139073,1.209947967304246,0.7674334298270872,1.861657206828857,0.7210193338622344,1.1576296381568183,1.1722283581788395,2.110995281809431,2.4870831637710795,1.4122208244709251,1.1747920231907854,2.7324588528795526
40,0.9723569273477272,1.7729447519814232,0.7074806452843961,0.7876169614005669,2.6143237268213446,0.7565788589878507,0.5818671484174113,0.9081841507027022,2.299576369527246,0.940943460901323,0.5508765907821653,1.6645092408932385,0.6609234785808319,1.0720888521160812,1.0480677583333642,2.1192777065844175,2.5424124672237594,1.3138879636789311,1.107022040434768,2.7057025161939054
41,0.9941370029470251,1.774825747803954,0.6987963282231582,0.7923706690015376,2.616324197401365,0.8321609743603928,0.6824352741202546,0.9868756878960421,2.3063300352321305,1.047609654449738,0.6831118415597651,1.7288148423517493,0.6573074596694105,1.1208246988876904,1.071943935422028,2.1390318742671024,2.565302608755671,1.3870896840542237,1.1365854369462036,2.7878809354214553
42,0.9273352587362016,1.6819369997783367,0.7504678820407539,0.7712505553769633,2.6843499518449576,0.7301341667376353,0.5129119365079603,0.8693282199530579,2.270452923082257,0.9560147659542151,0.5031637719350178,1.7863357373312718,0.6633157674552881,1.1168738593095027,1.1269678865411465,2.0960493657275348,2.5222209363076535,1.3630509149770804,1.1960814952091112,2.647298394720804
